benchmark,benchmark id,solver,configuration,configuration id,status,cpu time,result, checker status, checker cpu time, checker memory, checker result
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,CHBR_glucose_tuned,default,154586,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,tb_glucose,default,154588,complete,4509.08,UNSAT,complete,1830.63,7000252.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,tc_glucose,default,154590,complete,1753.9,UNSAT,complete,1094.58,3453028.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,COMiniSatPS Chandrasekhar DRUP,drup,154592,complete,4700.83,UNSAT,complete,2645.82,7004608.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,MapleCOMSPS_CHB_DRUP,CHB_VSIDS_drup,154594,timeout (cpu),4999.44,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,MapleCOMSPS_LRB_DRUP,LRB_VSIDS_drup,154596,complete,4372.94,UNSAT,complete,2329.52,7510772.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,MapleCOMSPS_DRUP,seq_LRB_VSIDS_drup,154598,complete,3732.23,UNSAT,complete,1827.3,1.0395036E7,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,Splatz 06v main,default,154625,complete,1247.84,UNSAT,complete,339.453,2372248.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,Riss6,noPP_DRAT,154658,complete,2453.48,UNSAT,complete,1026.03,5073932.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,Riss6,default_DRAT,154659,complete,3438.62,UNSAT,complete,1461.05,5074196.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,Riss6,blackbox_DRAT,154660,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,Glucose_nbSat,default,155265,complete,4682.57,UNSAT,complete,1729.82,7000644.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,MapleCMS,default,154687,timeout (cpu),4999.53,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x165_shuffled.cnf,2888764,MapleGlucose,default,154710,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,glue_alt,default,152939,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,GHackCOMSPS_DRUP,ghack_drup,153211,timeout (cpu),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,glucosePLE,default,153967,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,abcdSAT_drup,default,154067,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,glucose_hack_kiel_newScript,main_new,154744,complete,3266.08,UNSAT,complete,1526.57,5074196.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,Beans And Eggs,default,154732,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,cmsat5_main2,default,154241,timeout (cpu),4998.92,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,cmsat5_autotune2,default,154243,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,gulch,default,154330,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,YalSAT 03r,default,154460,timeout (cpu),4996.71,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,Lingeling bbc main,default,154468,complete,3153.72,UNSAT,complete,2632.14,3322816.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,glucose,default,154473,complete,4720.57,UNSAT,complete,1680.63,7001308.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,CHBR_glucose,default,154584,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,CHBR_glucose_tuned,default,154586,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,tb_glucose,default,154588,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,tc_glucose,default,154590,complete,1696.57,UNSAT,complete,1029.53,3453028.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,COMiniSatPS Chandrasekhar DRUP,drup,154592,timeout (cpu),4999.43,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,MapleCOMSPS_CHB_DRUP,CHB_VSIDS_drup,154594,timeout (cpu),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,MapleCOMSPS_LRB_DRUP,LRB_VSIDS_drup,154596,timeout (cpu),4999.22,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,MapleCOMSPS_DRUP,seq_LRB_VSIDS_drup,154598,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,Splatz 06v main,default,154625,complete,1310.54,UNSAT,complete,359.659,2372248.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,Riss6,noPP_DRAT,154658,complete,4300.62,UNSAT,complete,1981.02,5074724.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,Riss6,default_DRAT,154659,complete,4412.54,UNSAT,complete,1887.37,6999720.0,UNSAT-VERIFIED
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,Riss6,blackbox_DRAT,154660,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,Glucose_nbSat,default,155265,timeout (wallclock),5000.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,MapleCMS,default,154687,timeout (cpu),4999.02,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x175_shuffled.cnf,2888843,MapleGlucose,default,154710,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
sat/sc16craft_ecgrid6x185_shuffled.cnf,2888793,glue_alt,default,152939,timeout (wallclock),5000.01,UNKNOWN,enqueued,0.0,0.0,--
