pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
212247031,RandomSat/unif-k3-r4.267-v9600-c40963-S8991970385594957097.cnf.bz2,2846080,YalSAT 03r,7211,default,154456,timeout (cpu),5000.06,4997.11,9444.0,UNKNOWN
212247032,RandomSat/unif-k3-r4.267-v9800-c41817-S1564541069333437948.cnf.bz2,2846081,YalSAT 03r,7211,default,154456,timeout (cpu),5000.11,4997.21,9476.0,UNKNOWN
212247034,RandomSat/unif-k5-r16.0-v250000-c4000000-S6297951525283901270.cnf.bz2,2846083,YalSAT 03r,7211,default,154456,complete,20.5466,18.291,238884.0,SAT-VERIFIED
212247035,RandomSat/unif-k5-r16.2-v250000-c4050000-S718372190843876442.cnf.bz2,2846084,YalSAT 03r,7211,default,154456,complete,23.216,20.9184,241668.0,SAT-VERIFIED
212247036,RandomSat/unif-k5-r16.4-v250000-c4100000-S8549485130106137245.cnf.bz2,2846085,YalSAT 03r,7211,default,154456,complete,23.9529,21.643,244440.0,SAT-VERIFIED
212247037,RandomSat/unif-k5-r16.6-v250000-c4150000-S4004367052402274951.cnf.bz2,2846086,YalSAT 03r,7211,default,154456,complete,26.1326,23.7971,247228.0,SAT-VERIFIED
212247038,RandomSat/unif-k5-r16.8-v250000-c4200000-S4130076641018610865.cnf.bz2,2846087,YalSAT 03r,7211,default,154456,complete,29.2828,26.8987,250784.0,SAT-VERIFIED
212247039,RandomSat/unif-k5-r17.0-v250000-c4250000-S2922280673643808998.cnf.bz2,2846088,YalSAT 03r,7211,default,154456,complete,33.3583,30.9349,253568.0,SAT-VERIFIED
212247040,RandomSat/unif-k5-r17.2-v250000-c4300000-S3978795139186671666.cnf.bz2,2846089,YalSAT 03r,7211,default,154456,complete,74.9822,35.103,256352.0,SAT-VERIFIED
212247041,RandomSat/unif-k5-r17.4-v250000-c4350000-S5585160751687670746.cnf.bz2,2846090,YalSAT 03r,7211,default,154456,complete,43.676,41.1797,259140.0,SAT-VERIFIED
